# KE    Fraction
  0.0   0.141693
 25.0   0.528625
 50.0   0.363379
 75.0   0.295594
100.0   0.274570
125.0   0.256627
150.0   0.231274
175.0   0.231732
200.0   0.249652
225.0   0.269194
250.0   0.289517
275.0   0.303543
300.0   0.310487
325.0   0.310765
350.0   0.300879
375.0   0.290237
400.0   0.280855
425.0   0.270478
450.0   0.260582
475.0   0.250508
500.0   0.236965
525.0   0.220330
550.0   0.204160
575.0   0.191262
600.0   0.181011
625.0   0.170362
650.0   0.158112
675.0   0.143880
700.0   0.127237
725.0   0.109764
750.0   0.095057
775.0   0.084668
800.0   0.078992
825.0   0.078690
850.0   0.086361
875.0   0.109779
900.0   0.148152
925.0   0.161501
950.0   0.146243
975.0   0.134037
1000.0   0.146280
