# KE    Fraction
  0.0   0.244706
 25.0   0.478594
 50.0   0.516754
 75.0   0.535039
100.0   0.544027
125.0   0.546375
150.0   0.556253
175.0   0.586181
200.0   0.623269
225.0   0.647676
250.0   0.659685
275.0   0.665093
300.0   0.661338
325.0   0.644634
350.0   0.621498
375.0   0.603250
400.0   0.587762
425.0   0.568018
450.0   0.544612
475.0   0.520610
500.0   0.496914
525.0   0.473729
550.0   0.452175
575.0   0.433110
600.0   0.414813
625.0   0.395228
650.0   0.374613
675.0   0.354080
700.0   0.334333
725.0   0.315772
750.0   0.298811
775.0   0.283899
800.0   0.271666
825.0   0.262446
850.0   0.255668
875.0   0.250729
900.0   0.247508
925.0   0.245908
950.0   0.245487
975.0   0.245713
1000.0   0.246048
