# KE    Fraction
  0.0   0.214108
 25.0   0.409623
 50.0   0.476625
 75.0   0.522257
100.0   0.540480
125.0   0.525283
150.0   0.514269
175.0   0.539057
200.0   0.580440
225.0   0.606182
250.0   0.616552
275.0   0.621465
300.0   0.617749
325.0   0.600012
350.0   0.575433
375.0   0.556380
400.0   0.540436
425.0   0.520130
450.0   0.496149
475.0   0.471701
500.0   0.447713
525.0   0.424383
550.0   0.402789
575.0   0.383726
600.0   0.365536
625.0   0.346304
650.0   0.326339
675.0   0.306720
700.0   0.288079
725.0   0.270748
750.0   0.255077
775.0   0.241429
800.0   0.230282
825.0   0.221854
850.0   0.215631
875.0   0.211090
900.0   0.208095
925.0   0.206535
950.0   0.206025
975.0   0.206112
1000.0   0.206341
