# KE    Fraction
  0.0   0.236215
 25.0   0.485081
 50.0   0.505971
 75.0   0.505224
100.0   0.506027
125.0   0.518781
150.0   0.543757
175.0   0.577399
200.0   0.610613
225.0   0.633725
250.0   0.646991
275.0   0.652777
300.0   0.648511
325.0   0.631317
350.0   0.607863
375.0   0.589388
400.0   0.573691
425.0   0.553727
450.0   0.530111
475.0   0.505927
500.0   0.482089
525.0   0.458805
550.0   0.437187
575.0   0.418072
600.0   0.399757
625.0   0.380228
650.0   0.359759
675.0   0.339453
700.0   0.319997
725.0   0.301773
750.0   0.285174
775.0   0.270623
800.0   0.258703
825.0   0.249709
850.0   0.243087
875.0   0.238260
900.0   0.235099
925.0   0.233504
950.0   0.233050
975.0   0.233230
1000.0   0.233531
