# KE    Fraction
  0.0   0.153846
 25.0   0.332187
 50.0   0.384615
 75.0   0.407929
100.0   0.348433
125.0   0.346395
150.0   0.327743
175.0   0.338985
200.0   0.341720
225.0   0.349387
250.0   0.335235
275.0   0.331151
300.0   0.314944
325.0   0.303109
350.0   0.298904
375.0   0.289144
400.0   0.277394
425.0   0.267309
450.0   0.260015
475.0   0.252750
500.0   0.241474
525.0   0.226530
550.0   0.211482
575.0   0.199244
600.0   0.189402
625.0   0.179019
650.0   0.166950
675.0   0.152813
700.0   0.136080
725.0   0.118254
750.0   0.103037
775.0   0.092170
800.0   0.086184
825.0   0.085840
850.0   0.093856
875.0   0.118014
900.0   0.156500
925.0   0.169544
950.0   0.154551
975.0   0.142433
1000.0   0.154620
