# KE    Fraction
  0.0   0.081344
 25.0   0.129247
 50.0   0.239684
 75.0   0.333472
100.0   0.384027
125.0   0.379901
150.0   0.361457
175.0   0.364032
200.0   0.380177
225.0   0.396047
250.0   0.413180
275.0   0.434379
300.0   0.446743
325.0   0.434751
350.0   0.409571
375.0   0.390443
400.0   0.375224
425.0   0.355956
450.0   0.333564
475.0   0.311287
500.0   0.289970
525.0   0.269727
550.0   0.251355
575.0   0.235354
600.0   0.220423
625.0   0.205219
650.0   0.190057
675.0   0.175722
700.0   0.162563
725.0   0.150698
750.0   0.140270
775.0   0.131416
800.0   0.124274
825.0   0.118842
850.0   0.114802
875.0   0.111847
900.0   0.109856
925.0   0.108718
950.0   0.108216
975.0   0.108104
1000.0   0.108143
