# KE    Fraction
  0.0   0.130349
 25.0   0.311790
 50.0   0.145542
 75.0   0.064368
100.0   0.125637
125.0   0.243499
150.0   0.355836
175.0   0.416847
200.0   0.415299
225.0   0.372252
250.0   0.309669
275.0   0.249228
300.0   0.214322
325.0   0.238279
350.0   0.327994
375.0   0.298210
400.0   0.173901
425.0   0.063483
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.003080
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000223
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000016
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000002
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
