# KE    Fraction
  0.0        inf
 25.0   8.914364
 50.0   0.190125
 75.0   0.068577
100.0   0.046526
125.0   0.050877
150.0   0.060992
175.0   0.062504
200.0   0.055268
225.0   0.057010
250.0   0.069772
275.0   0.085882
300.0   0.094382
325.0   0.081563
350.0   0.036092
375.0   0.000000
400.0   0.000000
425.0   0.000000
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.000000
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000000
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000000
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000000
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
