# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000007
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000074
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001247
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.034199
400.0   0.090385
425.0   0.153429
450.0   0.204238
475.0   0.226695
500.0   0.236086
525.0   0.253179
550.0   0.276538
575.0   0.299897
600.0   0.323598
625.0   0.349264
650.0   0.375673
675.0   0.400703
700.0   0.423537
725.0   0.443946
750.0   0.461611
775.0   0.476403
800.0   0.488956
825.0   0.500041
850.0   0.509791
875.0   0.518172
900.0   0.525436
925.0   0.531845
950.0   0.537305
975.0   0.541611
1000.0   0.544546
