#KE	frac
0	0.01077026022589937
50	0.008687041351327756
100	0.006090713813121294
150	0.007727693480348883
200	0.012265343135721524
250	0.017056198851502658
300	0.023212930606062995
350	0.025908948205435246
400	0.10346111230831724
450	0.13988133920840326
500	0.19087409504167663
550	0.23549196323686244
600	0.2938773631583187
650	0.33692663992314204
700	0.40121315040377264
750	0.4123484930098412
800	0.4106951833457451
850	0.42630792319204963
900	0.4185111923732894
950	0.44729087677027973
1000	0.47276548680562835
