# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000009
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000092
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001568
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.042272
400.0   0.111301
425.0   0.188003
450.0   0.248751
475.0   0.274323
500.0   0.283792
525.0   0.302277
550.0   0.327962
575.0   0.353397
600.0   0.378898
625.0   0.406214
650.0   0.433944
675.0   0.459792
700.0   0.482962
725.0   0.503307
750.0   0.520627
775.0   0.534921
800.0   0.546938
825.0   0.557529
850.0   0.566881
875.0   0.574998
900.0   0.582129
925.0   0.588508
950.0   0.594018
975.0   0.598427
1000.0   0.601491
