#KE	frac
0	0.00847634740024962
50	0.0072901219719578155
100	0.0051876239870420095
150	0.006790251521884663
200	0.012774703710945124
250	0.018808851026236396
300	0.025755919643968228
350	0.03030998480865137
400	0.10574839071635268
450	0.1475511406767684
500	0.1947902829644853
550	0.2457675468887941
600	0.28389009218954026
650	0.3307391043119216
700	0.3821079450412384
750	0.40208601839606145
800	0.40336956470760854
850	0.41255744341370465
900	0.42188147502639817
950	0.42751184084909033
1000	0.46373042245424206
