#KE	frac
0	0.0015719477168665672
50	0.007782792952309074
100	0.010108747369582807
150	0.010094184851359898
200	0.02062642796638934
250	0.026323755436107685
300	0.030509487548434733
350	0.03582586596601535
400	0.10698833282290814
450	0.14000461216684668
500	0.17718249294898508
550	0.22589149626143878
600	0.2566592231298114
650	0.29194226976633003
700	0.3233223599980887
750	0.331048630880756
800	0.3440195332498802
850	0.35718735131849283
900	0.36112258953168047
950	0.3703977362049992
1000	0.3819140488146678
