#KE	frac
0	0.007377628818806862
50	0.008015688231959662
100	0.007270350173285468
150	0.012958076788007733
200	0.01894235365537538
250	0.02517449430942796
300	0.02920271292552498
350	0.03818886531601267
400	0.09295593785952368
450	0.1389400507169426
500	0.1740636379425215
550	0.20649261615039544
600	0.2529688085596819
650	0.28381645116369336
700	0.3014602665620873
750	0.3182092652871227
800	0.3327945638192209
850	0.3438328627064023
900	0.34795546579777437
950	0.37008426966292135
1000	0.38172289741173204
