#KE	frac
0	0.011475937152047509
50	0.010693028066389745
100	0.008496718084951668
150	0.011146051823187985
200	0.017379175980476363
250	0.021125977424164055
300	0.02948778326774639
350	0.034819696626865834
400	0.10397066029509287
450	0.14822231681812295
500	0.17900195501995142
550	0.22719138791955806
600	0.27225434368603874
650	0.29804120080993046
700	0.33844957652612584
750	0.3529117448910847
800	0.3631840253608299
850	0.3677463885212222
900	0.3767757945357673
950	0.39884672322615544
1000	0.41465408100869
