# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000006
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000063
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001048
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.026045
400.0   0.067333
425.0   0.112093
450.0   0.146697
475.0   0.160708
500.0   0.165639
525.0   0.175939
550.0   0.190324
575.0   0.204274
600.0   0.217879
625.0   0.232229
650.0   0.247335
675.0   0.262850
700.0   0.278203
725.0   0.292811
750.0   0.306277
775.0   0.318225
800.0   0.328178
825.0   0.335832
850.0   0.341658
875.0   0.346231
900.0   0.349754
925.0   0.352404
950.0   0.354608
975.0   0.356850
1000.0   0.359610
