# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000006
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000073
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001225
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.033637
400.0   0.088923
425.0   0.151001
450.0   0.201093
475.0   0.223308
500.0   0.232671
525.0   0.249641
550.0   0.272806
575.0   0.295990
600.0   0.319533
625.0   0.345048
650.0   0.371329
675.0   0.396268
700.0   0.419048
725.0   0.439436
750.0   0.457104
775.0   0.471913
800.0   0.484490
825.0   0.495600
850.0   0.505371
875.0   0.513763
900.0   0.521030
925.0   0.527435
950.0   0.532885
975.0   0.537177
1000.0   0.540099
