#KE	frac
0	0.07333244218687342
50	0.007114398083351828
100	0.004374507496842582
150	0.005471178131538498
200	0.013274496812740948
250	0.019481132422944965
300	0.020268438023402873
350	0.023979194159197432
400	0.10739166124006058
450	0.1607092056115358
500	0.20095668600284833
550	0.25390339716835986
600	0.30853591790082496
650	0.35699434852491313
700	0.4244323452308933
750	0.4401915493543923
800	0.43369510862957333
850	0.4393445148793802
900	0.45562078177727783
950	0.46478676657028345
1000	0.49252695078206776
