# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000015
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000139
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.002458
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.066716
400.0   0.173901
425.0   0.289764
450.0   0.376999
475.0   0.408513
500.0   0.415196
525.0   0.434444
550.0   0.463286
575.0   0.491145
600.0   0.518231
625.0   0.546558
650.0   0.574412
675.0   0.599319
700.0   0.620653
725.0   0.638521
750.0   0.653068
775.0   0.664625
800.0   0.674101
825.0   0.682418
850.0   0.689893
875.0   0.696648
900.0   0.702858
925.0   0.708644
950.0   0.713833
975.0   0.718151
1000.0   0.721312
