# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000006
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000070
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.000988
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.034153
400.0   0.086682
425.0   0.145554
450.0   0.196263
475.0   0.218852
500.0   0.227415
525.0   0.243949
550.0   0.267048
575.0   0.290033
600.0   0.313243
625.0   0.338492
650.0   0.364593
675.0   0.389391
700.0   0.412071
725.0   0.432415
750.0   0.450084
775.0   0.464919
800.0   0.477529
825.0   0.488670
850.0   0.498466
875.0   0.506873
900.0   0.514143
925.0   0.520538
950.0   0.525970
975.0   0.530243
1000.0   0.533150
