# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000008
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000063
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.002518
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.051452
400.0   0.131858
425.0   0.220220
450.0   0.291659
475.0   0.320312
500.0   0.328714
525.0   0.347770
550.0   0.375228
575.0   0.402058
600.0   0.428552
625.0   0.456716
650.0   0.485008
675.0   0.510986
700.0   0.533896
725.0   0.553693
750.0   0.570292
775.0   0.583813
800.0   0.595084
825.0   0.605001
850.0   0.613800
875.0   0.621524
900.0   0.628405
925.0   0.634646
950.0   0.640105
975.0   0.644531
1000.0   0.647660
