# KE    Fraction
  0.0   0.000000
 25.0   0.000000
 50.0   0.000000
 75.0   0.000009
100.0   0.000000
125.0   0.000000
150.0   0.000000
175.0   0.000061
200.0   0.000000
225.0   0.000000
250.0   0.000000
275.0   0.001179
300.0   0.000000
325.0   0.000000
350.0   0.000000
375.0   0.034049
400.0   0.089369
425.0   0.151175
450.0   0.202210
475.0   0.225717
500.0   0.232961
525.0   0.243658
550.0   0.258362
575.0   0.274039
600.0   0.292192
625.0   0.311523
650.0   0.328097
675.0   0.336923
700.0   0.333529
725.0   0.319321
750.0   0.303859
775.0   0.293994
800.0   0.294190
825.0   0.310236
850.0   0.356325
875.0   0.469460
900.0   0.650799
925.0   0.722764
950.0   0.662333
975.0   0.611350
1000.0   0.669895
