#KE	frac
0	0.8817716194482246
50	0.8489108400764793
100	0.6888880270697394
150	0.4567016038458101
200	0.4283458646409229
250	0.48261554142452917
300	0.5103313404481198
350	0.49780996041466785
400	0.40072188955125565
450	0.34647517166071334
500	0.29419676400428935
550	0.24698873512279906
600	0.2239303809787581
650	0.22373800510608327
700	0.22313694635997597
750	0.21242488210195373
800	0.20160517951341422
850	0.18359954201820558
900	0.18357729642935344
950	0.17290512516198295
1000	0.16651221675810218
