# KE    Fraction
  0.0   0.647103
 25.0   0.519439
 50.0   0.420312
 75.0   0.322552
100.0   0.249317
125.0   0.229505
150.0   0.228501
175.0   0.206621
200.0   0.173804
225.0   0.152190
250.0   0.142159
275.0   0.137515
300.0   0.137220
325.0   0.141423
350.0   0.148158
375.0   0.154230
400.0   0.159710
425.0   0.165940
450.0   0.172327
475.0   0.177666
500.0   0.181641
525.0   0.184175
550.0   0.184760
575.0   0.183080
600.0   0.180240
625.0   0.177562
650.0   0.175428
675.0   0.173934
700.0   0.172896
725.0   0.172120
750.0   0.171769
775.0   0.171824
800.0   0.171191
825.0   0.168950
850.0   0.165921
875.0   0.163066
900.0   0.160121
925.0   0.156696
950.0   0.153189
975.0   0.150218
1000.0   0.148403
