# KE    Fraction
  0.0   0.651645
 25.0   0.419840
 50.0   0.420823
 75.0   0.412612
100.0   0.350049
125.0   0.302696
150.0   0.374068
175.0   0.381968
200.0   0.266776
225.0   0.217373
250.0   0.224959
275.0   0.214318
300.0   0.191348
325.0   0.167237
350.0   0.148078
375.0   0.147864
400.0   0.159768
425.0   0.167719
450.0   0.172600
475.0   0.177636
500.0   0.182194
525.0   0.184995
550.0   0.185604
575.0   0.184017
600.0   0.181327
625.0   0.178781
650.0   0.176763
675.0   0.175392
700.0   0.174477
725.0   0.173814
750.0   0.173567
775.0   0.173716
800.0   0.173157
825.0   0.170957
850.0   0.167946
875.0   0.165099
900.0   0.162148
925.0   0.158702
950.0   0.155167
975.0   0.152168
1000.0   0.150336
