#KE	frac
0	0.7667770833506425
50	0.7689253127350205
100	0.6014684004310634
150	0.3732741055891719
200	0.34559893392527663
250	0.3816436983190371
300	0.38490640456262964
350	0.3592783655487486
400	0.26613129303982497
450	0.20738280929800398
500	0.1570498292149207
550	0.13064216905058273
600	0.11211354221067607
650	0.11694658153706682
700	0.11666890645425336
750	0.11515362851327063
800	0.10614658730286293
850	0.090868789324547
900	0.08658847060666955
950	0.08458561933819159
1000	0.07918466337274237
