#KE	frac
0	0.5163157032242206
50	0.7303565833978044
100	0.5067677283743647
150	0.2917220861516169
200	0.24347269316559664
250	0.2262774099133288
300	0.17637392179554853
350	0.1706875514437518
400	0.08265020910901828
450	0.05378056046650192
500	0.03295351667698803
550	0.02368562285078217
600	0.015342129870648705
650	0.017254659691369384
700	0.01606482171896859
750	0.015763714262729437
800	0.01757489150842476
850	0.014279536357109837
900	0.012195033201055864
950	0.01215307609396653
1000	0.009631999535340727
