# KE    Fraction
  0.0   0.490344
 25.0   0.931755
 50.0   0.369390
 75.0   0.209377
100.0   0.160703
125.0   0.144502
150.0   0.128660
175.0   0.114616
200.0   0.091859
225.0   0.082832
250.0   0.141744
275.0   0.182274
300.0   0.136613
325.0   0.129765
350.0   0.144359
375.0   0.152419
400.0   0.153032
425.0   0.156390
450.0   0.161507
475.0   0.164675
500.0   0.165824
525.0   0.165794
550.0   0.164213
575.0   0.160699
600.0   0.156206
625.0   0.151872
650.0   0.148064
675.0   0.144931
700.0   0.142343
725.0   0.140140
750.0   0.138480
775.0   0.137358
800.0   0.135873
825.0   0.133273
850.0   0.130219
875.0   0.127473
900.0   0.124791
925.0   0.121837
950.0   0.118906
975.0   0.116468
1000.0   0.114995
