# KE    Fraction
  0.0   1.325065
 25.0   0.086731
 50.0   0.077736
 75.0   0.079933
100.0   0.082843
125.0   0.083038
150.0   0.078552
175.0   0.068529
200.0   0.057612
225.0   0.050605
250.0   0.047199
275.0   0.045954
300.0   0.045871
325.0   0.046092
350.0   0.046417
375.0   0.046835
400.0   0.047442
425.0   0.048328
450.0   0.049317
475.0   0.050158
500.0   0.050729
525.0   0.050921
550.0   0.050567
575.0   0.049567
600.0   0.048214
625.0   0.046883
650.0   0.045840
675.0   0.045260
700.0   0.045030
725.0   0.044992
750.0   0.045150
775.0   0.045454
800.0   0.045491
825.0   0.044913
850.0   0.044005
875.0   0.043111
900.0   0.042166
925.0   0.041072
950.0   0.039990
975.0   0.039148
1000.0   0.038763
