# KE    Fraction
  0.0   0.266912
 25.0   0.241291
 50.0   0.242833
 75.0   0.244376
100.0   0.239717
125.0   0.225418
150.0   0.202232
175.0   0.172362
200.0   0.144485
225.0   0.127738
250.0   0.121387
275.0   0.122161
300.0   0.126365
325.0   0.130071
350.0   0.133006
375.0   0.135915
400.0   0.138810
425.0   0.141530
450.0   0.143582
475.0   0.144446
500.0   0.144055
525.0   0.142448
550.0   0.139446
575.0   0.135013
600.0   0.129915
625.0   0.124999
650.0   0.120604
675.0   0.116910
700.0   0.113807
725.0   0.111151
750.0   0.109067
775.0   0.107547
800.0   0.105858
825.0   0.103390
850.0   0.100663
875.0   0.098269
900.0   0.095997
925.0   0.093565
950.0   0.091199
975.0   0.089253
1000.0   0.088084
