# KE    Fraction
  0.0   0.403880
 25.0   0.272151
 50.0   0.327247
 75.0   0.236490
100.0   0.176417
125.0   0.268235
150.0   0.285448
175.0   0.219078
200.0   0.133809
225.0   0.154979
250.0   0.069542
275.0   0.007357
300.0   0.078167
325.0   0.102700
350.0   0.087016
375.0   0.084623
400.0   0.095335
425.0   0.100816
450.0   0.102213
475.0   0.104060
500.0   0.104686
525.0   0.102610
550.0   0.099091
575.0   0.095750
600.0   0.093336
625.0   0.091244
650.0   0.088761
675.0   0.085149
700.0   0.079456
725.0   0.072169
750.0   0.065714
775.0   0.061403
800.0   0.059432
825.0   0.060280
850.0   0.066487
875.0   0.084436
900.0   0.112970
925.0   0.121134
950.0   0.107509
975.0   0.096608
1000.0   0.103916
