# KE    Fraction
  0.0   0.631580
 25.0   0.542329
 50.0   0.417719
 75.0   0.307960
100.0   0.237159
125.0   0.223894
150.0   0.228415
175.0   0.207828
200.0   0.174234
225.0   0.152537
250.0   0.142712
275.0   0.138118
300.0   0.137726
325.0   0.141729
350.0   0.148210
375.0   0.154066
400.0   0.159344
425.0   0.165296
450.0   0.171325
475.0   0.176264
500.0   0.179818
525.0   0.181923
550.0   0.182102
575.0   0.180068
600.0   0.176902
625.0   0.173887
650.0   0.171406
675.0   0.169567
700.0   0.168199
725.0   0.167116
750.0   0.166482
775.0   0.166282
800.0   0.165454
825.0   0.163107
850.0   0.160035
875.0   0.157169
900.0   0.154246
925.0   0.150884
950.0   0.147463
975.0   0.144575
1000.0   0.142815
