# KE    Fraction
  0.0   0.461538
 25.0   0.628896
 50.0   0.356275
 75.0   0.260565
100.0   0.222313
125.0   0.260188
150.0   0.278364
175.0   0.291040
200.0   0.260057
225.0   0.214384
250.0   0.165826
275.0   0.156879
300.0   0.154536
325.0   0.129570
350.0   0.085625
375.0   0.076337
400.0   0.090522
425.0   0.097388
450.0   0.098731
475.0   0.102365
500.0   0.105822
525.0   0.105841
550.0   0.103495
575.0   0.100741
600.0   0.098473
625.0   0.096212
650.0   0.093455
675.0   0.089679
700.0   0.084038
725.0   0.076941
750.0   0.070672
775.0   0.066538
800.0   0.064759
825.0   0.065877
850.0   0.072596
875.0   0.091464
900.0   0.120636
925.0   0.128714
950.0   0.114896
975.0   0.103733
1000.0   0.111095
