# KE    Fraction
  0.0   0.168713
 25.0   0.088644
 50.0   0.091984
 75.0   0.101876
100.0   0.107787
125.0   0.105253
150.0   0.097594
175.0   0.088850
200.0   0.081300
225.0   0.076853
250.0   0.074403
275.0   0.072330
300.0   0.072101
325.0   0.075533
350.0   0.080913
375.0   0.085150
400.0   0.088430
425.0   0.092132
450.0   0.096238
475.0   0.100156
500.0   0.103060
525.0   0.104199
550.0   0.103292
575.0   0.100349
600.0   0.096093
625.0   0.091388
650.0   0.086823
675.0   0.082948
700.0   0.080130
725.0   0.078519
750.0   0.077803
775.0   0.077600
800.0   0.077702
825.0   0.077898
850.0   0.077765
875.0   0.076954
900.0   0.075609
925.0   0.073971
950.0   0.072191
975.0   0.070406
1000.0   0.068763
