# KE    Fraction
  0.0   0.372059
 25.0   0.095033
 50.0   0.236375
 75.0   0.374558
100.0   0.255523
125.0   0.308235
150.0   0.358395
175.0   0.419298
200.0   0.487011
225.0   0.546618
250.0   0.547524
275.0   0.714050
300.0   0.755113
325.0   0.511293
350.0   0.067582
375.0   0.000000
400.0   0.075735
425.0   0.113425
450.0   0.082869
475.0   0.076385
500.0   0.087452
525.0   0.088612
550.0   0.082754
575.0   0.078270
600.0   0.075362
625.0   0.071821
650.0   0.067507
675.0   0.062799
700.0   0.057379
725.0   0.051631
750.0   0.046931
775.0   0.043932
800.0   0.042913
825.0   0.044369
850.0   0.049889
875.0   0.063938
900.0   0.085744
925.0   0.092035
950.0   0.081620
975.0   0.072992
1000.0   0.077643
