# KE    Fraction
  0.0   3.923305
 25.0   0.298648
 50.0   0.180471
 75.0   0.111385
100.0   0.072344
125.0   0.064499
150.0   0.067848
175.0   0.062899
200.0   0.053997
225.0   0.049931
250.0   0.049273
275.0   0.048518
300.0   0.048111
325.0   0.049272
350.0   0.051171
375.0   0.052480
400.0   0.053497
425.0   0.054927
450.0   0.056754
475.0   0.058676
500.0   0.060152
525.0   0.060648
550.0   0.059943
575.0   0.058006
600.0   0.055257
625.0   0.052246
650.0   0.049486
675.0   0.047419
700.0   0.046158
725.0   0.045681
750.0   0.045770
775.0   0.046164
800.0   0.046623
825.0   0.046922
850.0   0.046869
875.0   0.046337
900.0   0.045428
925.0   0.044295
950.0   0.043096
975.0   0.041984
1000.0   0.041111
