# KE    Fraction
  0.0   0.521396
 25.0   0.492686
 50.0   0.371940
 75.0   0.259668
100.0   0.184782
125.0   0.160462
150.0   0.154186
175.0   0.138033
200.0   0.119536
225.0   0.111730
250.0   0.111857
275.0   0.113697
300.0   0.116987
325.0   0.122787
350.0   0.129429
375.0   0.134418
400.0   0.138166
425.0   0.141991
450.0   0.145854
475.0   0.149152
500.0   0.150780
525.0   0.149759
550.0   0.145913
575.0   0.139464
600.0   0.131429
625.0   0.122961
650.0   0.114927
675.0   0.108120
700.0   0.102975
725.0   0.099612
750.0   0.097596
775.0   0.096416
800.0   0.095767
825.0   0.095346
850.0   0.094640
875.0   0.093235
900.0   0.091290
925.0   0.089072
950.0   0.086752
975.0   0.084491
1000.0   0.082461
