# KE    Fraction
  0.0   0.089079
 25.0   0.028566
 50.0   0.045543
 75.0   0.069387
100.0   0.086857
125.0   0.087355
150.0   0.078731
175.0   0.070772
200.0   0.065024
225.0   0.061469
250.0   0.059257
275.0   0.057521
300.0   0.057463
325.0   0.060486
350.0   0.065168
375.0   0.068885
400.0   0.071812
425.0   0.075189
450.0   0.079016
475.0   0.082766
500.0   0.085736
525.0   0.087275
550.0   0.087096
575.0   0.085158
600.0   0.082069
625.0   0.078576
650.0   0.075165
675.0   0.072289
700.0   0.070271
725.0   0.069258
750.0   0.068984
775.0   0.069111
800.0   0.069465
825.0   0.069865
850.0   0.069934
875.0   0.069349
900.0   0.068246
925.0   0.066849
950.0   0.065299
975.0   0.063721
1000.0   0.062253
