#KE	frac
0	0.4836842967757794
50	0.20044628870659392
100	0.18678674148572663
150	0.2012795142549729
200	0.21315695809071927
250	0.24533079062282165
300	0.28008317460109305
350	0.18282586229654568
400	0.20608058779971425
450	0.2143408316158587
500	0.20451317725905574
550	0.19485579121032023
600	0.17259365515726027
650	0.1365637897946844
700	0.1166208625379038
750	0.11487568347489406
800	0.1156732427110709
850	0.11304437670026182
900	0.09901264935796737
950	0.08818902206343433
1000	0.06995542175089423
