#KE	frac
0	0.0651348851213362
50	0.1063413188081102
100	0.11698632349105002
150	0.14152649714867893
200	0.1442382395664407
250	0.13750757914616568
300	0.13202295552367288
350	0.13194590801198852
400	0.1469378748785119
450	0.15548920959327797
500	0.16429704521942887
550	0.1664253866292867
600	0.15701109974554278
650	0.14951703349271436
700	0.13710530413569175
750	0.13503084101074828
800	0.13295576047371194
850	0.13739909513662177
900	0.13426364497558843
950	0.11818766205704406
1000	0.12025635990594084
