#KE	frac
0	0.09090909090909091
50	0.11842105263157894
100	0.15786476812342162
150	0.09821560518057625
200	0.107349893328106
250	0.12729915386736543
300	0.13890291142503247
350	0.17140467402246215
400	0.20410381501565722
450	0.19997044465506877
500	0.19963671246667128
550	0.20250473574311198
600	0.17712965717260357
650	0.14275453579440356
700	0.12479537434510818
750	0.12274516405885753
800	0.11065664275062356
850	0.11255531200486008
900	0.10898471080688053
950	0.09669442296660793
1000	0.08246508108013527
