#KE	frac
0	0.22245265642345813
50	0.1700172622685409
100	0.11531009697217694
150	0.12867928471246368
200	0.14584894966228823
250	0.1358837598218999
300	0.13948252332983616
350	0.1447791126764671
400	0.16749064113248494
450	0.18444290265555846
500	0.18450702755378998
550	0.19241692638777025
600	0.1721398885052134
650	0.1462773075572374
700	0.12841496341001551
750	0.126056461809749
800	0.1277926897436035
850	0.12211882138085942
900	0.1248914377624494
950	0.1162340491938117
1000	0.10507208923233732
