# KE    Fraction
  0.0   0.021170
 25.0   0.000000
 50.0   0.016876
 75.0   0.071866
100.0   0.117775
125.0   0.134459
150.0   0.134236
175.0   0.134006
200.0   0.135410
225.0   0.136403
250.0   0.136324
275.0   0.136050
300.0   0.141330
325.0   0.155991
350.0   0.162376
375.0   0.137157
400.0   0.088923
425.0   0.036944
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.002088
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000166
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000012
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000001
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
