#KE	frac
0	0.09611528755515611
50	0.1181899747616272
100	0.11234777058618398
150	0.14545234424414927
200	0.16100080984871057
250	0.14815928845966317
300	0.13682117278062503
350	0.13337023991188315
400	0.15193743971918391
450	0.1617751525384538
500	0.1707197168723087
550	0.1617931184068295
600	0.15811130046424163
650	0.1478892009800992
700	0.14181882112810132
750	0.13623338126962697
800	0.13641397579708966
850	0.13100726988801428
900	0.12962580348943986
950	0.12211860219642015
1000	0.12007240453112228
