# KE    Fraction
  0.0   0.042178
 25.0   0.000000
 50.0   0.035994
 75.0   0.101597
100.0   0.148628
125.0   0.166522
150.0   0.169202
175.0   0.170424
200.0   0.172267
225.0   0.173827
250.0   0.174220
275.0   0.174052
300.0   0.180486
325.0   0.198228
350.0   0.205044
375.0   0.172368
400.0   0.111301
425.0   0.045997
450.0   0.000000
475.0   0.000000
500.0   0.000000
525.0   0.002528
550.0   0.000000
575.0   0.000000
600.0   0.000000
625.0   0.000196
650.0   0.000000
675.0   0.000000
700.0   0.000000
725.0   0.000014
750.0   0.000000
775.0   0.000000
800.0   0.000000
825.0   0.000001
850.0   0.000000
875.0   0.000000
900.0   0.000000
925.0   0.000000
950.0   0.000000
975.0   0.000000
1000.0   0.000000
