#KE	frac
0	0.10675244339972782
50	0.12534658159439135
100	0.11320231527714486
150	0.13489587915106435
200	0.1498138984328536
250	0.13393449356497397
300	0.13678429744809584
350	0.14197434801168599
400	0.15812308716673523
450	0.16781014602728064
500	0.1815834202636359
550	0.18568869664441995
600	0.1650870795115556
650	0.15667664407078086
700	0.14563798768917482
750	0.13515742196272176
800	0.1380596952339419
850	0.14188746965058588
900	0.13688965299121736
950	0.11602383718248194
1000	0.11449130573330694
